Description, Requests, Time, Transfer, Avg Response Time, Requests Per Second, Throughput, Concurrency, Success, Failure
Kong 0.3.0 Proxy 100, 63361, 9.98, 1, 0.02, 6348.80, 0.10, 99.33, 63361, 0
Kong 0.3.0 CORS 100, 54543, 9.98, 1, 0.02, 5465.23, 0.10, 99.28, 54543, 0
Kong 0.3.0 Request Transformer 100, 63172, 9.95, 1, 0.02, 6348.94, 0.10, 99.01, 63172, 0
Kong 0.3.0 Response Transformer 100, 59288, 9.99, 1, 0.02, 5934.73, 0.10, 99.18, 59288, 0
Kong 0.3.0 Proxy 200, 66678, 9.99, 1, 0.03, 6674.47, 0.10, 198.22, 66678, 0
Kong 0.3.0 CORS 200, 65205, 9.98, 1, 0.03, 6533.57, 0.10, 198.37, 65205, 16
Kong 0.3.0 Request Transformer 200, 64628, 9.98, 1, 0.03, 6475.75, 0.10, 198.45, 64628, 0
Kong 0.3.0 Response Transformer 200, 58510, 9.97, 1, 0.03, 5868.61, 0.10, 198.38, 58510, 0
Kong 0.3.0 Proxy 300, 63402, 9.96, 1, 0.05, 6365.66, 0.10, 295.63, 63402, 0
Kong 0.3.0 CORS 300, 58061, 9.96, 1, 0.05, 5829.42, 0.10, 297.16, 58061, 101
Kong 0.3.0 Request Transformer 300, 69243, 9.97, 1, 0.04, 6945.14, 0.10, 296.61, 69243, 65
Kong 0.3.0 Response Transformer 300, 57575, 9.91, 1, 0.05, 5809.79, 0.10, 295.67, 57575, 0
Kong 0.3.0 Proxy 400, 59323, 9.97, 1, 0.07, 5950.15, 0.10, 395.36, 59323, 33
Kong 0.3.0 CORS 400, 59620, 9.96, 1, 0.07, 5985.94, 0.10, 395.65, 59620, 0
Kong 0.3.0 Request Transformer 400, 65371, 9.97, 1, 0.06, 6556.77, 0.10, 391.04, 65371, 0
Kong 0.3.0 Response Transformer 400, 67113, 9.97, 1, 0.06, 6731.49, 0.10, 395.13, 67114, 0
Kong 0.3.0 Proxy 500, 68631, 9.89, 1, 0.07, 6939.43, 0.10, 488.12, 68631, 0
Kong 0.3.0 CORS 500, 66346, 9.97, 1, 0.07, 6654.56, 0.10, 487.73, 66346, 0
Kong 0.3.0 Request Transformer 500, 57189, 9.86, 1, 0.08, 5800.10, 0.10, 492.10, 57191, 34
Kong 0.3.0 Response Transformer 500, 50121, 9.99, 1, 0.10, 5017.12, 0.10, 489.23, 50121, 0
